"Mês/ano de competência";"Cap 10";"Total"
"Jan/2008";1038893,42;1038893,42
"Fev/2008";2557701,43;2557701,43
"Mar/2008";3050171,10;3050171,10
"Abr/2008";4378555,04;4378555,04
"Mai/2008";5793167,58;5793167,58
"Jun/2008";5885457,92;5885457,92
"Jul/2008";5421770,79;5421770,79
"Ago/2008";5682606,88;5682606,88
"Set/2008";5004546,97;5004546,97
"Out/2008";5176932,07;5176932,07
"Nov/2008";3960087,77;3960087,77
"Dez/2008";4953275,68;4953275,68
"Jan/2009";3399778,46;3399778,46
"Fev/2009";3787996,48;3787996,48
"Mar/2009";4711080,85;4711080,85
"Abr/2009";5035008,12;5035008,12
"Mai/2009";6116632,11;6116632,11
"Jun/2009";6102111,31;6102111,31
"Jul/2009";5783166,52;5783166,52
"Ago/2009";6230116,42;6230116,42
"Set/2009";6711519,25;6711519,25
"Out/2009";6201500,49;6201500,49
"Nov/2009";6161209,77;6161209,77
"Dez/2009";4718877,11;4718877,11
"Jan/2010";4636137,05;4636137,05
"Fev/2010";4306438,30;4306438,30
"Mar/2010";6330093,72;6330093,72
"Abr/2010";6606544,67;6606544,67
"Mai/2010";6210257,97;6210257,97
"Jun/2010";6379018,44;6379018,44
"Jul/2010";6317391,18;6317391,18
"Ago/2010";6327516,87;6327516,87
"Set/2010";6804843,46;6804843,46
"Out/2010";5735868,23;5735868,23
"Nov/2010";7040796,17;7040796,17
"Dez/2010";6250723,51;6250723,51
"Jan/2011";5255889,06;5255889,06
"Fev/2011";5824826,53;5824826,53
"Mar/2011";6562054,88;6562054,88
"Abr/2011";6978556,22;6978556,22
"Mai/2011";6712351,16;6712351,16
"Jun/2011";5495548,43;5495548,43
"Jul/2011";6270143,81;6270143,81
"Ago/2011";5823558,09;5823558,09
"Set/2011";6618323,86;6618323,86
"Out/2011";5885378,19;5885378,19
"Nov/2011";6162874,54;6162874,54
"Dez/2011";5877226,97;5877226,97
"Jan/2012";4674759,29;4674759,29
"Fev/2012";5313380,52;5313380,52
"Mar/2012";5555269,57;5555269,57
"Abr/2012";6305925,22;6305925,22
"Mai/2012";6701102,62;6701102,62
"Jun/2012";6481093,18;6481093,18
"Jul/2012";6521690,89;6521690,89
"Ago/2012";7074569,14;7074569,14
"Set/2012";6121156,89;6121156,89
"Out/2012";6152807,41;6152807,41
"Nov/2012";5739691,04;5739691,04
"Dez/2012";4492363,34;4492363,34
"Jan/2013";5452083,03;5452083,03
"Fev/2013";4394129,86;4394129,86
